year,month,rate_percent,revenue_ruling,irb_cite,table,authority_url,note
2022,5,3.0,Rev. Rul. 2022-9,2022-18 I.R.B. 1041,"Table 5, Rate Under Section 7520 for May 2022",https://www.irs.gov/pub/irs-irbs/irb22-18.pdf,
2022,6,3.6,Rev. Rul. 2022-10,2022-23 I.R.B. 1157,"Table 5, Rate Under Section 7520 for June 2022",https://www.irs.gov/pub/irs-irbs/irb22-23.pdf,
2022,7,3.6,Rev. Rul. 2022-12,2022-27 I.R.B. 1,"Table 5, Rate Under Section 7520 for July 2022",https://www.irs.gov/pub/irs-irbs/irb22-27.pdf,
2022,8,3.8,Rev. Rul. 2022-14,2022-31 I.R.B. 110,"Table 5, Rate Under Section 7520 for August 2022",https://www.irs.gov/pub/irs-irbs/irb22-31.pdf,
2022,9,3.6,Rev. Rul. 2022-17,2022-36 I.R.B. 182,"Table 5, Rate Under Section 7520 for September 2022",https://www.irs.gov/pub/irs-irbs/irb22-36.pdf,
2022,10,4.0,Rev. Rul. 2022-18,2022-40 I.R.B. 262,"Table 5, Rate Under Section 7520 for October 2022",https://www.irs.gov/pub/irs-irbs/irb22-40.pdf,
2022,11,4.8,Rev. Rul. 2022-20,2022-45 I.R.B. 407,"Table 5, Rate Under Section 7520 for November 2022",https://www.irs.gov/pub/irs-irbs/irb22-45.pdf,
2022,12,5.2,Rev. Rul. 2022-22,2022-49 I.R.B. 500,"Table 5, Rate Under Section 7520 for December 2022",https://www.irs.gov/pub/irs-irbs/irb22-49.pdf,
2023,1,4.6,Rev. Rul. 2023-1,2023-02 I.R.B. 309,"Table 5, Rate Under Section 7520 for January 2023",https://www.irs.gov/pub/irs-irbs/irb23-02.pdf,
2023,2,4.6,Rev. Rul. 2023-3,2023-06 I.R.B. 448,"Table 5, Rate Under Section 7520 for February 2023",https://www.irs.gov/pub/irs-irbs/irb23-06.pdf,
2023,3,4.4,Rev. Rul. 2023-5,2023-10 I.R.B. 503,"Table 5, Rate Under Section 7520 for March 2023",https://www.irs.gov/pub/irs-irbs/irb23-10.pdf,
2023,4,5.0,Rev. Rul. 2023-6,2023-14 I.R.B. 627,"Table 5, Rate Under Section 7520 for April 2023",https://www.irs.gov/pub/irs-irbs/irb23-14.pdf,
2023,5,4.4,Rev. Rul. 2023-9,2023-19 I.R.B. 835,"Table 5, Rate Under Section 7520 for May 2023",https://www.irs.gov/pub/irs-irbs/irb23-19.pdf,
2023,6,4.2,Rev. Rul. 2023-10,2023-23 I.R.B. 884,"Table 5, Rate Under Section 7520 for June 2023",https://www.irs.gov/pub/irs-irbs/irb23-23.pdf,
2023,7,4.6,Rev. Rul. 2023-12,2023-27 I.R.B. 1111,"Table 5, Rate Under Section 7520 for July 2023",https://www.irs.gov/pub/irs-irbs/irb23-27.pdf,
2023,8,5.0,Rev. Rul. 2023-13,2023-32 I.R.B. 413,"Table 5, Rate Under Section 7520 for August 2023",https://www.irs.gov/pub/irs-irbs/irb23-32.pdf,
2023,9,5.0,Rev. Rul. 2023-16,2023-37 I.R.B. 796,"Table 5, Rate Under Section 7520 for September 2023",https://www.irs.gov/pub/irs-irbs/irb23-37.pdf,
2023,10,5.4,Rev. Rul. 2023-18,2023-40 I.R.B. 972,"Table 5, Rate Under Section 7520 for October 2023",https://www.irs.gov/pub/irs-irbs/irb23-40.pdf,
2023,11,5.6,Rev. Rul. 2023-20,2023-45 I.R.B. 1221,"Table 5, Rate Under Section 7520 for November 2023",https://www.irs.gov/pub/irs-irbs/irb23-45.pdf,
2023,12,5.8,Rev. Rul. 2023-21,2023-49 I.R.B. 1299,"Table 5, Rate Under Section 7520 for December 2023",https://www.irs.gov/pub/irs-irbs/irb23-49.pdf,
2024,1,5.2,Rev. Rul. 2024-2,2024-02 I.R.B. 311,"Table 5, Rate Under Section 7520 for January 2024",https://www.irs.gov/pub/irs-irbs/irb24-02.pdf,
2024,2,4.8,Rev. Rul. 2024-3,2024-06 I.R.B. 646,"Table 5, Rate Under Section 7520 for February 2024",https://www.irs.gov/pub/irs-irbs/irb24-06.pdf,
2024,3,5.0,Rev. Rul. 2024-4,2024-10 I.R.B. 686,"Table 5, Rate Under Section 7520 for March 2024",https://www.irs.gov/pub/irs-irbs/irb24-10.pdf,
2024,4,5.2,Rev. Rul. 2024-7,2024-14 I.R.B. 749,"Table 5, Rate Under Section 7520 for April 2024",https://www.irs.gov/pub/irs-irbs/irb24-14.pdf,
2024,5,5.4,Rev. Rul. 2024-9,2024-19 I.R.B. 964,"Table 5, Rate Under Section 7520 for May 2024",https://www.irs.gov/pub/irs-irbs/irb24-19.pdf,
2024,6,5.6,Rev. Rul. 2024-12,2024-25 I.R.B. 1677,"Table 5, Rate Under Section 7520 for June 2024",https://www.irs.gov/pub/irs-irbs/irb24-25.pdf,
2024,7,5.4,Rev. Rul. 2024-13,2024-28 I.R.B. 18,"Table 5, Rate Under Section 7520 for July 2024",https://www.irs.gov/pub/irs-irbs/irb24-28.pdf,
2024,8,5.2,Rev. Rul. 2024-15,2024-32 I.R.B. 340,"Table 5, Rate Under Section 7520 for August 2024",https://www.irs.gov/pub/irs-irbs/irb24-32.pdf,
2024,9,4.8,Rev. Rul. 2024-17,2024-36 I.R.B. 568,"Table 5, Rate Under Section 7520 for September 2024",https://www.irs.gov/pub/irs-irbs/irb24-36.pdf,
2024,10,4.4,Rev. Rul. 2024-21,2024-41 I.R.B. 724,"Table 5, Rate Under Section 7520 for October 2024",https://www.irs.gov/pub/irs-irbs/irb24-41.pdf,
2024,11,4.4,Rev. Rul. 2024-24,2024-45 I.R.B. 1086,"Table 5, Rate Under Section 7520 for November 2024",https://www.irs.gov/pub/irs-irbs/irb24-45.pdf,
2024,12,5.0,Rev. Rul. 2024-26,2024-49 I.R.B. 1201,"Table 5, Rate Under Section 7520 for December 2024",https://www.irs.gov/pub/irs-irbs/irb24-49.pdf,
2025,1,5.2,Rev. Rul. 2025-1,2025-03 I.R.B. 307,"Table 5, Rate Under Section 7520 for January 2025",https://www.irs.gov/pub/irs-irbs/irb25-03.pdf,
2025,2,5.4,Rev. Rul. 2025-5,2025-07 I.R.B. 767,"Table 5, Rate Under Section 7520 for February 2025",https://www.irs.gov/pub/irs-irbs/irb25-07.pdf,
2025,3,5.4,Rev. Rul. 2025-6,2025-11 I.R.B. 1064,"Table 5, Rate Under Section 7520 for March 2025",https://www.irs.gov/pub/irs-irbs/irb25-11.pdf,
2025,4,5.0,Rev. Rul. 2025-8,2025-15 I.R.B. 1390,"Table 5, Rate Under Section 7520 for April 2025",https://www.irs.gov/pub/irs-irbs/irb25-15.pdf,
2025,5,5.0,Rev. Rul. 2025-10,2025-19 I.R.B. 1421,"Table 5, Rate Under Section 7520 for May 2025",https://www.irs.gov/pub/irs-irbs/irb25-19.pdf,
2025,6,5.0,Rev. Rul. 2025-12,2025-23 I.R.B. 1471,"Table 5, Rate Under Section 7520 for June 2025",https://www.irs.gov/pub/irs-irbs/irb25-23.pdf,
2025,7,5.0,Rev. Rul. 2025-13,2025-28 I.R.B. 11,"Table 5, Rate Under Section 7520 for July 2025",https://www.irs.gov/pub/irs-irbs/irb25-28.pdf,
2025,8,4.8,Rev. Rul. 2025-14,2025-32 I.R.B. 300,"Table 5, Rate Under Section 7520 for August 2025",https://www.irs.gov/pub/irs-irbs/irb25-32.pdf,
2025,9,4.8,Rev. Rul. 2025-17,2025-36 I.R.B. 349,"Table 5, Rate Under Section 7520 for September 2025",https://www.irs.gov/pub/irs-irbs/irb25-36.pdf,
2025,10,4.6,Rev. Rul. 2025-19,2025-41 I.R.B. 445,"Table 5, Rate Under Section 7520 for October 2025",https://www.irs.gov/pub/irs-irbs/irb25-41.pdf,
2025,11,4.6,Rev. Rul. 2025-21,2025-45 I.R.B. 690,"Table 5, Rate Under Section 7520 for November 2025",https://www.irs.gov/pub/irs-irbs/irb25-45.pdf,
